loss,accuracy,precision,recall,auc,val_loss,val_accuracy,val_precision,val_recall,val_auc
4.799018859863281,0.009800000116229057,0.03999999910593033,7.999999797903001e-05,0.4980282187461853,4.605742454528809,0.009999999776482582,0.0,0.0,0.4970833659172058
4.616700649261475,0.010449999943375587,0.0,0.0,0.5100437998771667,4.603445053100586,0.012400000356137753,0.0,0.0,0.5087615847587585
4.631893157958984,0.012325000017881393,0.0,0.0,0.5153288841247559,4.600630760192871,0.01269999984651804,0.0,0.0,0.5128049254417419
4.612406253814697,0.012400000356137753,0.0,0.0,0.5173684358596802,4.5973615646362305,0.014999999664723873,0.0,0.0,0.5154325366020203
4.599672317504883,0.013574999757111073,0.0,0.0,0.5188507437705994,4.595180988311768,0.013199999928474426,0.0,0.0,0.5209435224533081
4.609897613525391,0.01295000035315752,0.0,0.0,0.5176979899406433,4.59436559677124,0.013000000268220901,0.0,0.0,0.5190718173980713
4.598807334899902,0.012225000187754631,0.0,0.0,0.5184230208396912,4.592967987060547,0.01489999983459711,0.0,0.0,0.5179572105407715
4.59631872177124,0.012799999676644802,0.0,0.0,0.5215250849723816,4.592085361480713,0.014800000004470348,0.0,0.0,0.5206342339515686
4.607721328735352,0.012075000442564487,0.0,0.0,0.5187848210334778,4.591992378234863,0.012299999594688416,0.0,0.0,0.5184010863304138
4.594283103942871,0.01217500027269125,0.0,0.0,0.5205966234207153,4.5909013748168945,0.01549999974668026,0.0,0.0,0.5189242959022522
4.596936225891113,0.012649999931454659,0.0,0.0,0.5218102335929871,4.591484069824219,0.013199999928474426,0.0,0.0,0.5114926695823669
4.592523574829102,0.012524999678134918,0.0,0.0,0.5221810936927795,4.589504718780518,0.014800000004470348,0.0,0.0,0.5152533650398254
4.593024730682373,0.011575000360608101,0.0,0.0,0.5198846459388733,4.590785980224609,0.012900000438094139,0.0,0.0,0.519586443901062
4.595747470855713,0.012225000187754631,0.0,0.0,0.5205366015434265,4.589290618896484,0.012299999594688416,0.0,0.0,0.5192829370498657
4.594898223876953,0.012600000016391277,0.0,0.0,0.5220356583595276,4.589689254760742,0.01600000075995922,0.0,0.0,0.519149661064148
4.590816497802734,0.012550000101327896,0.0,0.0,0.5231763124465942,4.5883469581604,0.014700000174343586,0.0,0.0,0.5202306509017944
4.595709323883057,0.012400000356137753,0.0,0.0,0.519641101360321,4.5892181396484375,0.014800000004470348,0.0,0.0,0.5210524201393127
4.590356349945068,0.012600000016391277,0.0,0.0,0.522566556930542,4.58895206451416,0.014299999922513962,0.0,0.0,0.5183007717132568
4.592996120452881,0.011800000444054604,0.0,0.0,0.5225100517272949,4.588811874389648,0.014399999752640724,0.0,0.0,0.520725429058075
4.591285705566406,0.012149999849498272,0.0,0.0,0.5237697958946228,4.589648246765137,0.014000000432133675,0.0,0.0,0.5102877616882324
4.599703311920166,0.012424999848008156,0.0,0.0,0.5234222412109375,4.588535308837891,0.014399999752640724,0.0,0.0,0.5123524069786072
